timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 10:41:23.063",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:22.175",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:21.947",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:21.939",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.669",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:20.656",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:20.552",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.359",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:20.352",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.336",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.327",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.247",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.235",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.217",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:20.200",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:20.187",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.179",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.153",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.143",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.123",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:20.112",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.105",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:20.077",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.063",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:20.049",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.040",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:20.029",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:20.021",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.297",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.279",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.268",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.260",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.232",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.223",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.201",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.189",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.170",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.156",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.138",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.123",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.109",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.102",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.077",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.069",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.044",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.029",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.016",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:19.001",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:19.001",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Value Entry Added to the System,5,752
"Jan 9, 2026 @ 10:41:18.993",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:18.689",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:18.676",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.672",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.666",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.663",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.658",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.564",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.563",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.560",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.555",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.420",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:18.372",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
